["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.7634850470588234e+14 9.9991397020775516e-02 1.5164007078426037e-01
1.7672639435882353e+14 9.7555020795130690e-02 3.0940939687509333e-01
1.7710428401176469e+14 9.4980507020318211e-02 4.6739347424255584e-01
1.7748217366470588e+14 9.2319362638545191e-02 6.2584398143818110e-01
1.7786006331764706e+14 8.9624142823635344e-02 7.8500859944442303e-01
1.7823795297058822e+14 8.6947381706777682e-02 9.4512555521311070e-01
1.7861584262352941e+14 8.4340583280182208e-02 1.1064166074913711e+00
1.7899373227647059e+14 8.1853240120166856e-02 1.2690786464224662e+00
1.7937162192941175e+14 7.9531847203470743e-02 1.4332743165012178e+00
1.7974951158235294e+14 7.7418885440282997e-02 1.5991223978839226e+00
1.8012740123529412e+14 7.5551764209666472e-02 1.7666890552756349e+00
1.8050529088823528e+14 7.3961732688573742e-02 1.9359813869601898e+00
1.8088318054117647e+14 7.2672793524271737e-02 2.1069448213651358e+00
1.8126107019411762e+14 7.1700675764866148e-02 2.2794656445941768e+00
1.8163895984705881e+14 7.1051942611043764e-02 2.4533792065352524e+00
1.8201684950000000e+14 7.0723319352321470e-02 2.6284832284781858e+00
1.8239473915294116e+14 7.0701325112963079e-02 2.8045544179730859e+00
1.8277262880588234e+14 7.0962278601977749e-02 2.9813657109475100e+00
1.8315051845882353e+14 7.1472725521506589e-02 3.1587012639845939e+00
1.8352840811176469e+14 7.2190307923173699e-02 3.3363669068974748e+00
1.8390629776470588e+14 7.3065067825963503e-02 3.5141949114038993e+00
1.8428418741764706e+14 7.4041151526654844e-02 3.6920432087445447e+00
1.8466207707058822e+14 7.5058858156545838e-02 3.8697901866226272e+00
1.8503996672352941e+14 7.6056956090397712e-02 4.0473266916752300e+00
1.8541785637647059e+14 7.6975173850186679e-02 4.2245468659583221e+00
1.8579574602941175e+14 7.7756758992828065e-02 4.4013391199174707e+00
1.8617363568235294e+14 7.8350990592148048e-02 4.5775781003823059e+00
1.8655152533529412e+14 7.8715529756789651e-02 4.7531181218192247e+00
1.8692941498823528e+14 7.8818498806355150e-02 4.9277882930421537e+00
1.8730730464117647e+14 7.8640192585996735e-02 5.1013895268840326e+00
1.8768519429411762e+14 7.8174342849028258e-02 5.2736937630110106e+00
1.8806308394705881e+14 7.7428875472958972e-02 5.4444460373523160e+00
1.8844097360000000e+14 7.6426116770264646e-02 5.6133704496568955e+00
1.8881886325294116e+14 7.5202415880492660e-02 5.7801815340231659e+00
1.8919675290588234e+14 7.3807153086346111e-02 5.9446028807725009e+00
1.8957464255882353e+14 7.2301099495821891e-02 6.1063948392428991e+00
1.8995253221176469e+14 7.0754087035070620e-02 6.2653923643934792e+00
1.9033042186470588e+14 6.9241950808176619e-02 6.4215520864313360e+00
1.9070831151764706e+14 6.7842737545467796e-02 6.5750041479252443e+00
1.9108620117058822e+14 6.6632256385012190e-02 6.7260995271374160e+00
1.9146409082352941e+14 6.5679194773141061e-02 6.8754388880644122e+00
1.9184198047647059e+14 6.5040215764858300e-02 7.0238672821994523e+00
1.9221987012941175e+14 6.4755628424623901e-02 7.1724234636726489e+00
1.9259775978235294e+14 6.4846277749594464e-02 7.3222442577624394e+00
1.9297564943529412e+14 6.5312150011780520e-02 7.4744398886569154e+00
1.9335353908823528e+14 6.6132842934267591e-02 7.6299679479715010e+00
1.9373142874117647e+14 6.7269637641601196e-02 7.7895349153915578e+00
1.9410931839411766e+14 6.8668612827853748e-02 7.9535439332806739e+00
1.9448720804705881e+14 7.0264176236065984e-02 8.1220917314789318e+00
1.9486509770000000e+14 7.1982536643722575e-02 8.2950041599289719e+00
1.9524298735294119e+14 7.3744886082297581e-02 8.4718934531515657e+00
1.9562087700588234e+14 7.5470282976767347e-02 8.6522209979368316e+00
1.9599876665882353e+14 7.7078352955544854e-02 8.8353539985636544e+00
1.9637665631176469e+14 7.8491949511101555e-02 9.0206098694947485e+00
1.9675454596470588e+14 7.9639873521823945e-02 9.2072865514739775e+00
1.9713243561764706e+14 8.0459679087449193e-02 9.3946796966595905e+00
1.9751032527058822e+14 8.0900523917794287e-02 9.5820890480752130e+00
1.9788821492352941e+14 8.0925971679138384e-02 9.7688168698800784e+00
1.9826610457647059e+14 8.0516624405012005e-02 9.9541614790669932e+00
1.9864399422941175e+14 7.9672449679691559e-02 1.0137409193982778e+01
1.9902188388235294e+14 7.8414659092334388e-02 1.0317828653836179e+01
1.9939977353529412e+14 7.6786978199224906e-02 1.0494672679299011e+01
1.9977766318823528e+14 7.4856109911160623e-02 1.0667194675343332e+01
2.0015555284117647e+14 7.2711120809011279e-02 1.0834688679674583e+01
2.0053344249411766e+14 7.0461370877635571e-02 1.0996563366410827e+01
2.0091133214705881e+14 6.8232486490739611e-02 1.1152458041125556e+01
2.0128922180000000e+14 6.6159827215695952e-02 1.1302398746728269e+01
2.0166711145294119e+14 6.4379086787973910e-02 1.1446971112747455e+01
2.0204500110588234e+14 6.3014312880120008e-02 1.1587455553341039e+01
2.0242289075882353e+14 6.2164804304236931e-02 1.1725845907492374e+01
2.0280078041176469e+14 6.1893666881024802e-02 1.1864684159656996e+01
2.0317867006470588e+14 6.2221344606725723e-02 1.2006710659050730e+01
2.0355655971764706e+14 6.3126307140184926e-02 1.2154424374607146e+01
2.0393444937058825e+14 6.4552492889333415e-02 1.2309701862831393e+01
2.0431233902352941e+14 6.6420614222803973e-02 1.2473590319805540e+01
2.0469022867647059e+14 6.8639576697651167e-02 1.2646298563978558e+01
2.0506811832941175e+14 7.1115241981380237e-02 1.2827330963464174e+01
2.0544600798235294e+14 7.3755549361300424e-02 1.3015683726850583e+01
2.0582389763529412e+14 7.6472499953697468e-02 1.3210040303577697e+01
2.0620178728823528e+14 7.9182239615263703e-02 1.3408933045909713e+01
2.0657967694117647e+14 8.1804548341220681e-02 1.3610861981918752e+01
2.0695756659411766e+14 8.4262743156713740e-02 1.3814373990357447e+01
2.0733545624705881e+14 8.6484572851903460e-02 1.4018110050430572e+01
2.0771334590000000e+14 8.8404272432928629e-02 1.4220828754487050e+01
2.0809123555294119e+14 8.9965621313354283e-02 1.4421413570167401e+01
2.0846912520588234e+14 9.1125632057954112e-02 1.4618870545338813e+01
2.0884701485882353e+14 9.1858377212546000e-02 1.4812322553451686e+01
2.0922490451176472e+14 9.2158416397717852e-02 1.5001005753480307e+01
2.0960279416470588e+14 9.2043286285971374e-02 1.5184273551667170e+01
2.0998068381764706e+14 9.1554540399946302e-02 1.5361612745149619e+01
2.1035857347058825e+14 9.0756867591060372e-02 1.5532675236091558e+01
2.1073646312352941e+14 8.9734895004903351e-02 1.5697326034076440e+01
2.1111435277647059e+14 8.8587438171666560e-02 1.5855703497171284e+01
2.1149224242941175e+14 8.7419261012303781e-02 1.6008280782780801e+01
2.1187013208235294e+14 8.6330899330550451e-02 1.6155909792255937e+01
2.1224802173529412e+14 8.5407747730519123e-02 1.6299824378681972e+01
2.1262591138823531e+14 8.4710226016803739e-02 1.6441583543771205e+01
2.1300380104117647e+14 8.4267099614131272e-02 1.6582950740943367e+01
2.1338169069411766e+14 8.4073623722780308e-02 1.6725728158887144e+01
2.1375958034705881e+14 8.4095089960542824e-02 1.6871583538996475e+01
2.1413747000000000e+14 8.4274964531610819e-02 1.7021910149670102e+01
("port 1","mode 1",1,"port 1",2,"transmission")
(101, 3)
1.7634850470588234e+14 2.0003117742203517e-06 1.2547725819033773e+00
1.7672639435882353e+14 2.1925265740406684e-06 1.3177168379381212e+00
1.7710428401176469e+14 2.3589195492877431e-06 1.3778083356676782e+00
1.7748217366470588e+14 2.5063996563973765e-06 1.4341615647904915e+00
1.7786006331764706e+14 2.6422801727810285e-06 1.4872546626994103e+00
1.7823795297058822e+14 2.7729313092639966e-06 1.5385563483668492e+00
1.7861584262352941e+14 2.9025853040387306e-06 1.5901133982689142e+00
1.7899373227647059e+14 3.0325738423312964e-06 1.6440867973573858e+00
1.7937162192941175e+14 3.1611778910196070e-06 1.7023297549893150e+00
